pi_id  video_id  video_minutes  pi_sr  pi_space(b)  time_begin  time_end
[1, 'wo.avi', 0.1, './', 1299912, '2019-03-12 17:25:45', '2019-03-12 17:25:51']
[1, 'wo.avi', 0.1, './', 1243184, '2019-03-12 17:31:53', '2019-03-12 17:31:59']
[1, 'wo.avi', 0.1, './', 1445150, '2019-03-12 17:35:28', '2019-03-12 17:35:34']
[1, 'wo.avi', 0.1, './', 1307494, '2019-03-12 17:36:58', '2019-03-12 17:37:04']
[1, 'wo.avi', 0.1, './', 1388846, '2019-03-12 17:43:53', '2019-03-12 17:43:59']
[1, 'wo.avi', 0.1, './', 1225886, '2019-03-12 19:07:14', '2019-03-12 19:07:20']
[1, 'wo.avi', 0.1, './', 1621900, '2019-03-13 11:02:15', '2019-03-13 11:02:21']
[1, 'wo.avi', 0.1, './', 1723850, '2019-03-13 11:03:28', '2019-03-13 11:03:34']
[1, 'wo.avi', 0.1, './', 1524812, '2019-03-13 16:25:55', '2019-03-13 16:26:01']
[1, 'wo.avi', 0.1, './', 1670192, '2019-03-13 16:31:11', '2019-03-13 16:31:17']
[1, 'wo.avi', 1, './', 16091360, '2019-03-13 16:35:38', '2019-03-13 16:36:38']
[1, 'wo.avi', 3, './', 50018212, '2019-03-13 16:40:40', '2019-03-13 16:43:40']
[1, 'wo.avi', 0.5, './', 9594696, '2019-03-13 16:48:37', '2019-03-13 16:49:07']
[1, 'wo.avi', 0.1, './', 1666640, '2019-03-13 17:06:05', '2019-03-13 17:06:11']
[1, 'wo.avi', 0.1, './', 1577642, '2019-03-13 17:09:55', '2019-03-13 17:10:01']
[1, 'wo.avi', 0.1, './', 1590852, '2019-03-13 17:18:56', '2019-03-13 17:19:02']
[1, 'wo.avi', 1, './', 17099160, '2019-03-13 17:23:32', '2019-03-13 17:24:32']
[1, 'wo.avi', 1, './', 25770570, '2019-03-13 17:26:57', '2019-03-13 17:27:57']
[1, 'wo.avi', 1, './', 16935702, '2019-03-13 17:32:21', '2019-03-13 17:33:21']
[1, 'wo.avi', 1, './', 20068968, '2019-03-13 17:37:00', '2019-03-13 17:38:00']
[1, 'wo.avi', 1, './', 20846712, '2019-03-13 17:57:31', '2019-03-13 17:58:31']
[1, 'wo.avi', 1, './', 21901268, '2019-03-13 18:10:47', '2019-03-13 18:11:47']
[1, 'wo.avi', 0.1, './', 2201146, '2019-03-13 18:13:51', '2019-03-13 18:13:57']
[1, 'wo.avi', 0.1, './', 2217228, '2019-03-13 18:13:58', '2019-03-13 18:14:04']
[1, 'wo.avi', 0.1, './', 1951846, '2019-03-13 18:15:40', '2019-03-13 18:15:46']
[1, 'wo.avi', 0.1, './', 1922006, '2019-03-13 18:15:57', '2019-03-13 18:16:03']
[1, 'wo.avi', 0.1, './', 2110480, '2019-03-13 18:17:47', '2019-03-13 18:17:53']
[1, 'wo.avi', 0.1, './', 1953510, '2019-03-13 18:21:53', '2019-03-13 18:21:59']
[1, 'wo.avi', 0.1, './', 2537268, '2019-03-13 18:26:37', '2019-03-13 18:26:43']
[1, 'wo.avi', 0.1, './', 1963088, '2019-03-13 18:26:49', '2019-03-13 18:26:55']
[1, 'wo.avi', 0.1, './', 2300598, '2019-03-13 18:27:07', '2019-03-13 18:27:13']
[1, 'wo.avi', 0.1, './', 1885896, '2019-03-13 18:28:56', '2019-03-13 18:29:02']
[1, 'wo.avi', 0.1, './', 1968584, '2019-03-13 18:30:35', '2019-03-13 18:30:41']
[1, 'wo.avi', 0.1, './', 1941778, '2019-03-13 18:32:21', '2019-03-13 18:32:27']
[1, 'wo.avi', 0.1, './', 2566512, '2019-03-13 18:35:52', '2019-03-13 18:35:58']
[1, 'wo.avi', 0.1, './', 1439346, '2019-03-13 20:18:47', '2019-03-13 20:18:53']
[1, 'wo.avi', 0.1, './', 1841788, '2019-03-13 20:19:36', '2019-03-13 20:19:42']
[1, 'wo.avi', 0.1, './', 1673460, '2019-03-13 20:55:41', '2019-03-13 20:55:47']
[1, 'wo.avi', 0.1, './', 1811824, '2019-03-13 20:57:45', '2019-03-13 20:57:51']
[1, 'wo.avi', 0.1, './', 1935534, '2019-03-13 21:02:56', '2019-03-13 21:03:02']
[1, 'wo.avi', 0.1, './', 2178630, '2019-03-13 21:04:36', '2019-03-13 21:04:42']
[1, 'wo.avi', 0.1, './', 1816254, '2019-03-13 21:06:39', '2019-03-13 21:06:45']
[1, 'wo.avi', 0.1, './', 1096572, '2019-03-14 10:54:16', '2019-03-14 10:54:22']
[1, 'wo.avi', 0.1, './', 1271400, '2019-03-14 10:54:56', '2019-03-14 10:55:02']
[1, 'wo.avi', 0.1, './', 1368452, '2019-03-14 11:00:47', '2019-03-14 11:00:53']
[1, 'name_test.avi', 1, './', 18098808, '2019-03-14 11:23:21', '2019-03-14 11:24:21']
